Conjunto|jan/24|fev/24|mar/24|abr/24|mai/24|jun/24
ALCÂNTARA|60684|60549|60314|60217|60252|59928
ANGRA DOS REIS|42791|42738|42687|42689|42662|42635
ARARUAMA|28087|28110|28139|28116|28157|28080
AREAL|22228|22178|22201|22275|22351|22327
ARRAIAL DO CABO|14952|14973|14913|14918|14893|14864
ARSENAL|35327|35224|35059|35061|35096|34917
AUGUSTO VIEIRA|37073|37265|37376|37357|37272|37125
BACAXÁ|54174|54360|54280|54237|54348|54402
BARRACÃO DOS MENDES|6462|6495|6515|6556|6579|6600
BINGEN|29359|29330|29310|29296|29323|29338
BOM JARDIM|22110|22159|22132|22192|22254|22336
BÚZIOS|31606|31694|31732|31713|31802|31699
CABIÚNAS|16407|16464|16484|16514|16505|16500
CABO FRIO|53704|53744|53474|53428|53445|53349
CACHOEIRA DE MACACÚ|15461|15483|15502|15477|15463|15479
CAMPOS ELÍSEOS|46745|46732|46502|46354|46368|46037
CONCEIÇÃO DE MACABÚ|11751|11782|11735|11743|11745|11725
CRUZAMENTO|18148|18170|18201|18227|18212|18188
DISTRIBUIDORA DE CAMPOS|88713|88766|88734|88970|88967|88971
ENTRONCAMENTO ARARUAMA|38195|38177|38045|38145|38222|38248
GALO BRANCO|64294|64013|63725|63829|63818|64289
GOITACAZES|24032|24020|24076|24055|24100|24120
GUARÚS|27370|27203|27188|27145|27139|27042
GUAXINDIBA|55021|54905|54633|54626|54684|54249
ICARAÍ|45237|45271|45250|45228|45175|45212
IGUABA|26315|26386|26295|26298|26327|26370
ILHA GRANDE|2623|2639|2632|2596|2606|2580
IMBOASSICA|32822|32903|32887|32943|32973|32983
INGÁ|37895|37945|37940|37974|38026|38040
INOÃ|51931|52132|52043|52041|52327|52285
ITAIPAVA|22806|22861|22866|22936|23029|22989
ITALVA|10637|10644|10662|10642|10671|10700
ITAMARATÍ|39501|39464|39413|39426|39441|39453
ITAMBI|21637|21539|21390|21303|21342|21157
ITAORNA|12839|12839|12789|12761|12768|12726
ITAPERUNA|53607|53703|53770|53801|53822|53785
ITATIAIA|21982|22072|22052|22059|22163|22208
JACUACANGA|22186|22167|22144|22002|22028|22017
MACABÚ|16824|16885|16956|16913|16992|16968
MACAÉ|54624|54829|54782|54859|54754|54634
MAMBUCABA|38536|38627|38574|38464|38455|38350
MARIA PAULA|27876|27836|27759|27723|27705|27595
MARICÁ|57620|57975|57993|57930|58029|58061
MOMBAÇA|40840|40755|40788|40829|40814|40693
MURIQUI|35508|35644|35247|35048|35046|34988
NATIVIDADE|22445|22533|22505|22596|22673|22656
NEVES|25284|25201|25164|25183|25264|25176
NOSSA SENHORA DA AJUDA|29854|29924|29958|30052|29958|30002
PALATINATO|39955|39936|39924|39926|39991|39973
PARADA ANGÉLICA|68719|68575|68337|68225|67957|67901
PARADA MODELO|15215|15203|15189|15158|15166|15216
PIRATININGA|44065|44130|44106|44109|44182|44086
PONTINHA|25754|25919|25894|25535|25482|25439
PORTÃO DO ROSA|36295|36161|36075|35982|35981|35111
PORTO DO CARRO|66311|66299|66229|66200|66217|66130
RETIRO SAUDOSO|62090|62151|62128|62219|62408|62423
RIO BONITO|19232|19220|19151|19198|19259|19279
RIO DA CIDADE|21084|21113|21120|21140|21134|21090
RIO DAS OSTRAS|57414|57608|57479|57505|57561|57521
SANTA CLARA|11147|11255|11224|10805|10736|10736
SANTA CRUZ DA SERRA|36416|36507|36283|36312|36219|35286
SANTO ANTÔNIO DE PÁDUA|55354|55361|55345|55357|55465|55459
SÃO FIDÉLIS|23801|23858|23885|23935|23991|23942
SÃO LOURENÇO|28384|28339|28287|28312|28271|28313
SÃO PEDRO DA ALDEIA|39892|40097|40060|40122|40155|40129
SATURNINO BRAGA|20493|20543|20149|19959|19897|19913
SETE PONTES|49257|49188|49059|48958|48857|48601
SILVA JARDIM|16787|16829|16843|16859|16913|16885
TAMOIOS|46915|47103|47068|46918|46977|46822
TANGUÁ|12186|12195|12175|12206|12206|12199
TERESÓPOLIS|41220|41338|41413|41494|41593|40164
TROMBETAS|55230|55277|55345|55439|55486|56937
URURAÍ|10020|10013|10020|9995|9992|9967
VAL DE PALMAS|27438|27395|27480|27491|27545|27524
VENDA DAS PEDRAS|49333|49344|49224|49263|49535|49365
VILA NOVA|28644|28781|28799|28698|28695|28707
VILA VERDE|31332|31247|31105|31191|31152|31166
ZONA SUL|31505|31477|31421|31430|31391|31388
